Component,Distance_type,site,E_DFT,ZEP,TS,slab,G,G_OH
Au-Au,0_12,Au,-1444.7416,0.281355,0.207824,-1435.6862,-1444.668069,1.8211310000000385
Au-Au,3_3,Au,-1446.784,0.293498,0.106779,-1437.6424,-1446.597281,1.848118999999885
Au-Au,3_5,Au,-1444.452,0.305089,0.150839,-1435.365,-1444.29775,1.8702500000000573
Au-Au,5_7,Au,-1445.325,0.284688,0.065392,-1436.1693,-1445.105704,1.8665959999999604
Au-Au,9_1,Au,-1445.3989,0.29191,0.105335,-1436.363,-1445.212325,1.953675000000091
Au-Au,9_3,Au,-1445.3303,0.296961,0.108681,-1436.2587,-1445.14202,1.9196800000000867
Au-Au,10_2,Au,-1444.6908,0.294494,0.166248,-1435.7222,-1444.562554,1.9626459999998378
Au-Au,2_10,Au,-1444.7724,0.297746,0.104467,-1435.8266,-1444.5791210000002,2.050478999999884
Au-Au,4_16,Au,-1445.006,0.303668,0.086645,-1436.0811,-1444.7889770000002,2.095122999999946
Au-Au,5_3,Au,-1445.2105,0.302141,0.142853,-1436.167,-1445.051212,1.9187879999998376
Au-Au,6_10,Au,-1445.1637,0.297315,0.097115,-1436.2479,-1444.9635,2.087400000000004
Au-Au,7_1,Au,-1445.4139,0.283644,0.072983,-1436.3682,-1445.203239,1.9679609999999474
Au-Au,7_11,Au,-1445.2179,0.29313,0.111372,-1436.3189,-1445.0361420000002,2.0857579999998297
Au-Au,7_9,Au,-1445.1992,0.297631,0.093788,-1436.24,-1444.995357,2.0476429999999954
Au-Au,8_12,Au,-1445.208,0.313461,0.115354,-1436.2906,-1445.0098930000001,2.083706999999892
Au-Au,8_16,Au,-1445.1734,0.298958,0.092863,-1436.3219,-1444.967305,2.1575950000000166
Au-Au,9_11,Au,-1445.2137,0.300918,0.150164,-1436.2799,-1445.062946,2.019953999999986
